Service Id,Multi-Tenancy model,Automated Provisioning,Single Sign On,Subscription Based Billing,High Availability,Elastic Infrastructure,Data Security,Application Security,Rate Limiting/QoS,Audit,Security,Scalability,Ease Of Use,Latency,Score
Service_ID : 1,789,Low,No,Medium,Medium,Neutral,Low,Medium,74,Medium,Low,High,Neutral,Medium,59.375
Service_ID : 2,247,High,No,Low,High,Agree,High,High,50,Low,High,Low,Neutral,Medium,65.625
Service_ID : 3,568,High,Yes,Medium,Medium,Agree,Medium,Medium,41,Medium,Medium,Medium,Strongly Agree,Low,81.25
Service_ID : 4,527,Medium,Yes,Medium,Low,Agree,Medium,High,57,High,High,Medium,Agree,Low,82.8125
Service_ID : 5,556,Medium,No,Low,Low,Neutral,Low,Medium,89,High,Low,High,Strongly Disagree,Medium,46.875
Service_ID : 6,305,Medium,No,Low,High,Agree,High,Medium,57,Low,High,Medium,Neutral,Medium,70.3125
Service_ID : 7,17,High,No,High,Low,Agree,Low,Medium,36,Low,Low,Low,Neutral,Medium,50.0
Service_ID : 8,427,Low,Yes,Medium,Low,Strongly Disagree,High,Low,26,Medium,Low,Low,Disagree,High,37.5
Service_ID : 9,548,Low,No,Low,High,Strongly Agree,Low,High,21,High,Low,Low,Neutral,Very High,37.5
Service_ID : 10,257,Low,No,High,Low,Agree,Low,Medium,64,Medium,Low,Medium,Neutral,Medium,54.6875
Service_ID : 11,793,High,No,Low,Medium,Strongly Agree,High,Medium,29,Medium,High,Medium,Neutral,Medium,70.3125
Service_ID : 12,641,High,Yes,High,High,Agree,Low,Low,45,Low,Low,Medium,Strongly Agree,Very Low,79.6875
Service_ID : 13,964,Medium,No,Low,Low,Strongly Disagree,Medium,Medium,96,Medium,Medium,High,Strongly Disagree,Very High,42.1875
Service_ID : 14,812,Medium,No,Low,High,Strongly Disagree,Low,Low,12,Medium,Low,Low,Strongly Disagree,Very High,25.0
Service_ID : 15,410,High,Yes,High,Low,Strongly Disagree,High,Low,94,Medium,Low,High,Disagree,Low,59.375
Service_ID : 16,569,High,No,Low,Low,Strongly Agree,Low,High,84,High,Low,High,Neutral,Medium,59.375
Service_ID : 17,722,Low,No,Medium,High,Strongly Disagree,Low,Medium,84,Medium,Low,High,Strongly Disagree,Medium,46.875
Service_ID : 18,808,Medium,No,High,High,Strongly Agree,Medium,Low,46,Medium,Low,High,Agree,Low,71.875
Service_ID : 19,641,Medium,No,Low,Low,Strongly Disagree,Low,Medium,17,High,Low,Low,Strongly Disagree,Very High,25.0
Service_ID : 20,290,Medium,Yes,Low,High,Strongly Disagree,High,Low,26,Medium,Low,Low,Disagree,High,37.5
Service_ID : 21,455,Medium,Yes,Low,High,Strongly Agree,Low,High,68,Medium,Low,Medium,Agree,Low,67.1875
Service_ID : 22,12,Medium,Yes,High,High,Strongly Disagree,High,Low,8,Medium,Low,Low,Agree,High,50.0
Service_ID : 23,172,Medium,Yes,Medium,Medium,Disagree,Low,Low,18,Low,Low,Low,Disagree,High,37.5
Service_ID : 24,855,Medium,Yes,Medium,Low,Neutral,Low,Low,72,Medium,Low,High,Agree,Low,71.875
Service_ID : 25,570,Low,Yes,Low,High,Strongly Disagree,Medium,High,9,Low,High,Low,Disagree,High,53.125
Service_ID : 26,48,Medium,No,High,Medium,Agree,High,High,58,Low,High,Low,Neutral,Low,71.875
Service_ID : 27,682,Low,No,High,High,Agree,Low,Low,47,High,Low,Medium,Agree,Medium,60.9375
Service_ID : 28,2,Low,No,High,Low,Neutral,High,High,85,Medium,High,Low,Strongly Disagree,Medium,53.125
Service_ID : 29,49,High,Yes,High,High,Strongly Agree,High,High,97,Low,High,Low,Strongly Agree,Very Low,90.625
Service_ID : 30,753,Medium,Yes,Medium,Medium,Disagree,High,High,69,Medium,High,High,Agree,Low,87.5
Service_ID : 31,312,Medium,No,Medium,Low,Neutral,Low,High,32,Medium,Low,Low,Neutral,Medium,50.0
Service_ID : 32,629,High,No,Low,High,Strongly Agree,High,Medium,14,High,High,Low,Agree,Medium,71.875
Service_ID : 33,174,Low,No,High,Medium,Strongly Agree,Low,High,60,Medium,Low,Low,Neutral,Medium,50.0
Service_ID : 34,694,High,No,Low,Medium,Disagree,Low,High,98,Medium,Low,High,Neutral,Medium,59.375
Service_ID : 35,827,Low,No,Medium,Low,Strongly Disagree,High,Low,68,High,Low,High,Strongly Disagree,Very High,34.375
Service_ID : 36,422,Low,Yes,High,Low,Neutral,High,High,90,Low,High,High,Disagree,Low,75.0
Service_ID : 37,12,Medium,Yes,Medium,Low,Neutral,Medium,Low,63,Medium,Low,Low,Agree,Low,62.5
Service_ID : 38,237,Medium,No,Low,Medium,Disagree,Low,Low,20,Low,Low,Low,Strongly Disagree,Very High,25.0
Service_ID : 39,744,High,No,Medium,Medium,Neutral,Low,Low,95,Low,Low,High,Neutral,Low,65.625
Service_ID : 40,994,Medium,No,High,High,Strongly Agree,High,Medium,85,Low,High,High,Agree,Low,87.5
Service_ID : 41,995,Low,No,Medium,Medium,Agree,Medium,Low,56,Low,Low,High,Strongly Disagree,Medium,46.875
Service_ID : 42,986,Low,No,Low,Medium,Strongly Agree,High,Low,74,Medium,Low,High,Strongly Disagree,Medium,46.875
Service_ID : 43,487,Low,Yes,High,Low,Strongly Disagree,Medium,Medium,76,High,Medium,High,Disagree,High,54.6875
Service_ID : 44,951,High,Yes,Low,Medium,Strongly Disagree,Low,High,36,Low,Low,Medium,Disagree,High,42.1875
Service_ID : 45,947,Medium,Yes,High,Medium,Agree,Low,Medium,2,Medium,Low,Low,Strongly Agree,High,56.25
Service_ID : 46,769,Low,No,Medium,High,Neutral,High,Low,68,High,Low,High,Neutral,Medium,59.375
Service_ID : 47,513,High,Yes,Low,Medium,Strongly Disagree,Medium,Medium,91,High,Medium,High,Disagree,Low,67.1875
Service_ID : 48,843,High,Yes,High,Low,Agree,Medium,Medium,12,Medium,Medium,Low,Strongly Agree,Low,76.5625
Service_ID : 49,42,Low,Yes,Medium,High,Disagree,High,Medium,71,High,High,Low,Agree,Low,78.125
Service_ID : 50,352,High,No,High,Low,Disagree,Medium,High,55,Low,High,Medium,Strongly Disagree,Medium,57.8125
Service_ID : 51,206,Low,No,High,Medium,Agree,Medium,High,66,Medium,High,Low,Neutral,Medium,65.625
Service_ID : 52,898,Medium,No,High,Low,Strongly Disagree,Medium,High,31,Low,High,Medium,Strongly Disagree,Very High,45.3125
Service_ID : 53,773,Medium,Yes,High,Low,Neutral,Medium,High,57,High,High,High,Agree,Low,87.5
Service_ID : 54,790,Medium,Yes,Medium,Low,Strongly Disagree,High,Low,91,Medium,Low,High,Disagree,Low,59.375
Service_ID : 55,11,Medium,Yes,High,Medium,Disagree,High,Medium,46,High,High,Low,Strongly Agree,Low,84.375
Service_ID : 56,324,Low,No,Low,High,Strongly Disagree,Low,Medium,20,Low,Low,Low,Strongly Disagree,Very High,25.0
Service_ID : 57,7,Low,No,Medium,Low,Strongly Disagree,Low,Low,42,Medium,Low,Low,Strongly Disagree,Very High,25.0
Service_ID : 58,368,High,No,Low,High,Strongly Disagree,Low,Low,46,Low,Low,Medium,Strongly Disagree,Medium,42.1875
Service_ID : 59,495,Low,No,Low,High,Agree,Medium,High,53,High,High,Medium,Neutral,Medium,70.3125
Service_ID : 60,269,Low,Yes,Medium,Medium,Strongly Disagree,Low,High,14,High,Low,Low,Disagree,High,37.5
Service_ID : 61,595,High,Yes,Medium,Low,Strongly Disagree,High,Medium,51,High,High,Medium,Disagree,High,57.8125
Service_ID : 62,228,Low,No,High,Medium,Disagree,High,High,37,Medium,High,Low,Neutral,Medium,65.625
Service_ID : 63,500,High,Yes,Medium,High,Agree,Medium,High,8,Medium,High,Low,Strongly Agree,Low,84.375
Service_ID : 64,6,High,Yes,High,Low,Neutral,High,High,88,Medium,High,Low,Agree,Low,78.125
Service_ID : 65,836,Low,No,Low,High,Agree,High,Medium,87,Low,High,High,Strongly Disagree,Medium,62.5
Service_ID : 66,835,High,No,Medium,High,Disagree,High,Low,77,Low,Low,High,Neutral,Low,65.625
Service_ID : 67,66,Medium,Yes,Medium,Medium,Agree,Low,Medium,87,Low,Low,Low,Agree,Very Low,68.75
Service_ID : 68,764,Medium,Yes,Low,High,Neutral,Low,Medium,6,High,Low,Low,Agree,High,50.0
Service_ID : 69,978,Low,Yes,Low,High,Strongly Agree,Low,Medium,9,High,Low,Low,Agree,High,50.0
Service_ID : 70,250,High,No,High,High,Strongly Agree,High,Medium,26,Low,High,Low,Agree,Low,78.125
Service_ID : 71,190,Medium,No,Low,High,Disagree,Medium,Medium,11,Medium,Medium,Low,Neutral,Very High,45.3125
Service_ID : 72,134,High,Yes,Low,High,Strongly Agree,High,Medium,100,High,High,Low,Strongly Agree,Very Low,90.625
Service_ID : 73,764,High,No,Medium,Medium,Strongly Agree,Low,High,39,Low,Low,Medium,Neutral,Medium,54.6875
Service_ID : 74,687,Medium,No,Low,Medium,Disagree,High,Medium,96,Low,High,High,Strongly Disagree,Medium,62.5
Service_ID : 75,968,Medium,No,High,Medium,Strongly Agree,Medium,Medium,93,Low,Medium,High,Neutral,Low,73.4375
Service_ID : 76,221,Low,No,Medium,Low,Disagree,High,High,67,High,High,Low,Strongly Disagree,Very High,40.625
Service_ID : 77,849,Low,No,Medium,Low,Agree,High,Low,38,High,Low,Medium,Neutral,Very High,42.1875
Service_ID : 78,437,High,No,High,High,Strongly Disagree,Low,Low,66,Low,Low,Medium,Neutral,Medium,54.6875
Service_ID : 79,341,Low,No,Medium,Low,Strongly Disagree,Low,Low,43,High,Low,Low,Strongly Disagree,Very High,25.0
Service_ID : 80,349,Medium,Yes,Low,Medium,Neutral,High,Low,2,Medium,Low,Low,Agree,High,50.0
Service_ID : 81,3,Low,Yes,High,High,Agree,High,Low,40,Low,Low,Low,Agree,Low,62.5
Service_ID : 82,402,High,Yes,Low,Low,Disagree,Medium,Medium,69,High,Medium,Medium,Disagree,Low,62.5
Service_ID : 83,269,Medium,Yes,Low,High,Strongly Disagree,Medium,Medium,61,Medium,Medium,Medium,Disagree,Low,62.5
Service_ID : 84,976,Low,Yes,High,Low,Strongly Disagree,High,Medium,60,Medium,High,High,Disagree,High,62.5
Service_ID : 85,526,Low,Yes,High,Low,Neutral,High,Medium,69,Low,High,High,Disagree,Low,75.0
Service_ID : 86,275,Low,No,High,Low,Strongly Agree,High,Medium,41,High,High,Low,Neutral,Medium,65.625
Service_ID : 87,197,High,Yes,High,High,Disagree,High,Medium,96,Medium,High,Medium,Strongly Agree,Very Low,95.3125
